comparator	error_type	error_rate	error_rate_pct	metric	n_pairs	mae_magicc	mae_comparator	delta_mae	delta_mae_ci_lo	delta_mae_ci_hi	hl	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_ci_lo	cliffs_ci_hi	p_wilcoxon	winner	q_bh
deepcheck	indel	0.02	2.0	contamination	80	3.6006	6.9542	-3.3536	-4.8009	-1.8426	-3.4794	-4.7945	-1.9158	-0.3934	-0.5469	-0.2244	1.4520214820475019e-05	MAGICC	4.356064446142506e-05
deepcheck	indel	0.05	5.0	completeness	80	11.9271	36.4216	-24.4946	-28.4768	-20.5501	-24.1443	-28.4245	-20.1335	-0.7516	-0.8544	-0.6419	1.0516677393479781e-13	MAGICC	1.009601029774059e-12
deepcheck	indel	0.05	5.0	contamination	80	5.8123	11.2229	-5.4107	-7.5297	-3.0687	-5.597	-7.7445	-3.4703	-0.4528	-0.5997	-0.2875	3.1316465920139327e-06	MAGICC	1.1563002801282214e-05
deepcheck	chimera	0.05	5.0	completeness	80	4.3977	5.9049	-1.5072	-3.1437	0.0797	-1.1577	-2.6132	-0.2109	-0.2725	-0.421	-0.1275	0.016051776293250955	tie	0.02661359050640649
deepcheck	chimera	0.05	5.0	contamination	80	2.7212	5.1857	-2.4644	-3.9119	-1.1527	-1.5199	-3.2688	-0.4765	-0.1809	-0.3435	-0.0209	0.0023969977646286452	MAGICC	0.0046644280825206075
deepcheck	chimera	0.1	10.0	completeness	80	4.3974	5.9202	-1.5228	-3.0033	0.0109	-1.176	-2.4769	-0.2546	-0.2737	-0.4122	-0.13	0.015430040576595269	tie	0.026140304035643748
deepcheck	chimera	0.1	10.0	contamination	80	2.7232	5.1814	-2.4581	-3.9262	-1.1638	-1.5218	-3.22	-0.5104	-0.1822	-0.34	-0.0172	0.002435406800537069	MAGICC	0.004675981057031172
deepcheck	chimera	0.2	20.0	completeness	80	4.3964	5.9153	-1.5189	-3.0952	0.0307	-1.1652	-2.5789	-0.2783	-0.2731	-0.4113	-0.1369	0.016263860865026188	tie	0.02661359050640649
deepcheck	chimera	0.2	20.0	contamination	80	2.7221	5.1916	-2.4695	-3.8814	-1.1208	-1.522	-3.239	-0.4605	-0.1866	-0.3513	-0.0237	0.0019456761902278126	MAGICC	0.0040605416143884784
deepcheck	chimera	0.4	40.0	completeness	80	4.3978	5.8878	-1.49	-3.0221	0.1642	-1.1193	-2.4709	-0.1648	-0.2653	-0.4078	-0.1191	0.023289993226634748	tie	0.03685449477621323
deepcheck	chimera	0.4	40.0	contamination	80	2.7205	5.1924	-2.472	-3.9197	-1.1808	-1.5186	-3.2362	-0.4871	-0.1869	-0.3497	-0.0212	0.0020422890138879985	MAGICC	0.004201280257141025
deepcheck	uneven_coverage	0.05	5.0	completeness	80	5.3731	5.836	-0.4629	-1.8667	0.9853	-0.4472	-1.47	0.4613	-0.0938	-0.2241	0.0422	0.3723342874702781	tie	0.4394765360304922
deepcheck	uneven_coverage	0.05	5.0	contamination	80	2.9839	5.0358	-2.0519	-3.2286	-0.9138	-2.0231	-3.0526	-1.1731	-0.4003	-0.5559	-0.239	3.710457904919006e-05	MAGICC	0.00010275114198237248
deepcheck	uneven_coverage	0.1	10.0	completeness	80	7.6702	6.0736	1.5966	0.0615	3.0749	1.4719	0.0797	3.0459	0.1334	-0.021	0.2888	0.0382658079768296	deepcheck	0.056806972666633634
deepcheck	uneven_coverage	0.1	10.0	contamination	80	4.2801	6.4018	-2.1217	-3.3738	-0.8402	-2.6216	-3.8352	-1.2768	-0.3606	-0.5219	-0.1875	0.0005537177958275871	MAGICC	0.001286054235470525
deepcheck	uneven_coverage	0.2	20.0	completeness	80	12.167	5.778	6.389	4.8313	7.9381	6.2616	4.726	8.0391	0.5253	0.3872	0.6556	5.762152753156696e-10	deepcheck	2.676612891788917e-09
deepcheck	uneven_coverage	0.2	20.0	contamination	80	7.9134	11.4797	-3.5663	-5.8829	-1.2776	-4.4069	-6.7604	-1.855	-0.4256	-0.5763	-0.2653	0.0011083409172266336	MAGICC	0.0024937670637599258
deepcheck	uneven_coverage	0.4	40.0	completeness	80	15.9854	6.1067	9.8787	7.6603	12.1204	10.0129	7.6238	12.4213	0.6203	0.4822	0.7485	2.5902544768670854e-10	deepcheck	1.286195326444346e-09
deepcheck	uneven_coverage	0.4	40.0	contamination	80	19.3299	27.161	-7.8311	-11.7329	-3.5219	-8.2683	-13.105	-3.4537	-0.3072	-0.4634	-0.1353	0.0003724891301890381	MAGICC	0.0009091260126647709
deepcheck	none	0.0	0.0	completeness	80	4.3977	5.9072	-1.5094	-3.0779	0.2223	-1.1725	-2.5069	-0.1628	-0.2716	-0.4128	-0.1269	0.016263860865026188	tie	0.02661359050640649
deepcheck	none	0.0	0.0	contamination	80	2.7213	5.1779	-2.4566	-3.8378	-1.0659	-1.5177	-3.138	-0.411	-0.1809	-0.3469	-0.0125	0.0023969977646286452	MAGICC	0.0046644280825206075
