set	set_label	tool	tool_label	n	n_clusters	completeness_mae	completeness_mae_ci_lo	completeness_mae_ci_hi	completeness_r2_cod	completeness_r2_cod_ci_lo	completeness_r2_cod_ci_hi	completeness_bias	completeness_bias_ci_lo	completeness_bias_ci_hi	completeness_r2_omitted_reason	contamination_mae	contamination_mae_ci_lo	contamination_mae_ci_hi	contamination_r2_cod	contamination_r2_cod_ci_lo	contamination_r2_cod_ci_hi	contamination_bias	contamination_bias_ci_lo	contamination_bias_ci_hi	contamination_r2_omitted_reason
set_A_v2	Set A (completeness gradient, 0% contamination)	magicc_v5	MAGICC v5	1000	798	2.1766318366134065	1.9277441429974125	2.435865381542502	0.9368628041550612	0.9149649346821996	0.9546766052827128	0.0922186901372748	-0.2202192928143469	0.3615054110643994		0.8285294344272	0.6429887833268665	1.0594770411788443				0.8285294344272	0.6429887833268665	1.0594770411788443	R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	checkm2	CheckM2	1000	798	2.5423106509718054	2.361873803762624	2.71386793577417	0.9489151665692774	0.9404746544506803	0.9563008200589308	1.2338306271372748	0.9958970961969392	1.4616723262918312		0.27387	0.2495259185767873	0.29995225				0.27387	0.2495259185767873	0.29995225	R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	cocopye	CoCoPyE	1000	798	3.6395110323866655	3.3393725511623296	3.954556045940136	0.8851836376100233	0.863105318431953	0.9046169823906134	0.1378546535050523	-0.2432180213821246	0.5169024609728429		0.9766124183707464	0.7086782150180361	1.302509441128964				0.9766124151233684	0.7086782120343452	1.3025094386611356	R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	deepcheck	DeepCheck	1000	798	4.255472477276518	3.975215340154827	4.539029889031779	0.8653238386483895	0.8429478177442182	0.8846172390510949	1.4648283920298533	1.094480196229916	1.8452645121778857		0.404035914644599	0.3717926938627589	0.4355011395700983				0.2865536159723997	0.2492408271136763	0.3229230709306359	R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_B_v2	Set B (contamination gradient, 100% completeness)	magicc_v5	MAGICC v5	1000	803	2.972426611	2.6474062363997954	3.3182404214419767				-2.972426611	-3.318240421441977	-2.6474062363997954	R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.	4.453452160275677	4.121883812189373	4.792029895134867	0.9406227227012852	0.9283067332847376	0.9513593721607386	-0.1355621172905156	-0.5949579560188135	0.3005196112725166	
set_B_v2	Set B (contamination gradient, 100% completeness)	checkm2	CheckM2	1000	803	0.4511200000000002	0.3190901682152185	0.6001370518252777				-0.4511200000000002	-0.6001370518252777	-0.3190901682152185	R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.	17.661892481683402	16.510105631285878	18.77881969033632	0.1753939087858974	0.0863532979672487	0.2594772099937376	-14.261714663148515	-15.593799180511477	-12.96018867102942	
set_B_v2	Set B (contamination gradient, 100% completeness)	cocopye	CoCoPyE	1000	803	0.6405279238173239	0.4467794929876648	0.8523234616001921				-0.6405279238173239	-0.8523234616001922	-0.4467794929876648	R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.	12.095051584950191	11.225719489121492	13.026354522879034	0.536198495493883	0.4598061151611361	0.6053742057457976	-4.35194307573874	-5.57426677907467	-3.1588514484378645	
set_B_v2	Set B (contamination gradient, 100% completeness)	deepcheck	DeepCheck	1000	803	6.6112978515625	6.063183851459312	7.165332125251908				4.400948608398438	3.76484709078012	5.054528200063339	R^2 is undefined: the true completeness is constant at 100% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.	25.70492389684744	24.34716347002204	27.09590014050012	-0.4945772140176057	-0.6528200869147395	-0.3577999980501757	-20.585649024365537	-22.273219337626	-18.87362911601588	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	magicc_v5	MAGICC v5	1000	100	6.821597663	5.7766099591	7.862434387974999	0.6106088344247111	0.482604586534478	0.7139755010516196	-2.3196743150000003	-3.831910376225	-0.8120991130750007		9.08009014162	8.19340916197475	10.104100506855	0.7703705543381516	0.7108849298920202	0.8156794355548876	-3.55360411622	-5.12828014093775	-1.9963131466952504	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	checkm2	CheckM2	1000	100	7.711174946	7.343940184075	8.11285815095	0.6530118841617543	0.6173909730444322	0.683222054617695	-4.205359872	-4.82569412115	-3.592223192575		39.617792901	37.99565914605	41.229881825425	-2.195269912770257	-2.428625921778072	-1.981263580604441	-39.604204333	-41.222120742075	-37.9800728875	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	cocopye	CoCoPyE	1000	100	17.778982457851896	16.99424883656373	18.56119158043243	-0.5880277408338399	-0.7422748007262185	-0.4426424384336023	-16.843010341708563	-17.728815817246595	-15.93285471707224		32.09405212894907	30.58358520603381	33.65981430307858	-1.3011542586631415	-1.4862044847707514	-1.139482923193561	-31.29163141923218	-32.92369821490836	-29.68379325967701	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	deepcheck	DeepCheck	1000	100	17.811546546440187	16.86307125533737	18.78649142724875	-0.5686585220485736	-0.7506821754212489	-0.4041160764508767	-17.056644122640872	-18.09562655151032	-16.019261734090076		41.66830845208366	39.99620767620896	43.34617742510072	-2.496245385630824	-2.7541317732364035	-2.26558577172056	-41.66639765674872	-43.3448879659803	-39.99138650635229	
set_D_clean	Set D-clean (Archaea, held-out test split)	magicc_v5	MAGICC v5	1000	100	5.633003436999999	4.998072044575001	6.342333417949999	0.7052611336588996	0.6167385526864351	0.773703438985549	-0.2623504989999999	-1.31945720485	0.7783519640749997		6.52290456265	5.955153302013501	7.110501851065	0.8538799671587071	0.8226583722019016	0.8806049623292028	-3.83411574455	-4.65147826171175	-2.9729461479712507	
set_D_clean	Set D-clean (Archaea, held-out test split)	checkm2	CheckM2	1000	100	9.171165078999998	8.493533976350001	9.9118282077	0.3155146216309135	0.2056916910670792	0.4142817040249389	7.742888903	6.845399954425	8.703694890374997		34.697951454000005	33.198637784400006	36.13590908325	-1.6586496800112145	-1.898631699732389	-1.446456088199481	-34.661047227999994	-36.101896345275	-33.14881655994999	
